indicador,fase,dia,fecha,denominador,numerador,resultado,unidad,naturaleza
PRCC,PRETEST,1,2026-07-01,57,36,63.1578947368421,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,1,2026-08-19,57,52,91.22807017543859,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,2,2026-07-02,56,41,73.21428571428571,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,2,2026-08-20,56,52,92.85714285714286,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,3,2026-07-03,57,37,64.91228070175438,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,3,2026-08-21,57,54,94.73684210526315,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,4,2026-07-06,56,36,64.28571428571429,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,4,2026-08-24,56,53,94.64285714285714,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,5,2026-07-07,57,41,71.9298245614035,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,5,2026-08-25,57,52,91.22807017543859,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,6,2026-07-08,56,40,71.42857142857143,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,6,2026-08-26,56,54,96.42857142857143,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,7,2026-07-09,57,38,66.66666666666666,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,7,2026-08-27,57,54,94.73684210526315,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,8,2026-07-10,56,38,67.85714285714286,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,8,2026-08-28,56,54,96.42857142857143,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,9,2026-07-13,57,36,63.1578947368421,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,9,2026-08-31,57,53,92.98245614035088,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,10,2026-07-14,56,37,66.07142857142857,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,10,2026-09-01,56,54,96.42857142857143,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,11,2026-07-15,57,37,64.91228070175438,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,11,2026-09-02,57,55,96.49122807017544,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,12,2026-07-16,56,38,67.85714285714286,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,12,2026-09-03,56,54,96.42857142857143,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,13,2026-07-17,57,36,63.1578947368421,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,13,2026-09-04,57,54,94.73684210526315,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,14,2026-07-20,56,40,71.42857142857143,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,14,2026-09-07,56,53,94.64285714285714,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,15,2026-07-21,57,39,68.42105263157895,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,15,2026-09-08,57,53,92.98245614035088,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,16,2026-07-22,56,37,66.07142857142857,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,16,2026-09-09,56,54,96.42857142857143,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,17,2026-07-24,57,35,61.40350877192983,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,17,2026-09-10,57,54,94.73684210526315,%,SIMULATED_SOURCE_AGGREGATE
PRCC,PRETEST,18,2026-07-30,56,36,64.28571428571429,%,USER_DECLARED_REAL_AGGREGATE
PRCC,POSTTEST,18,2026-09-11,56,53,94.64285714285714,%,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,1,2026-07-01,1,875.1,875.1,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,1,2026-08-19,1,79.2,79.2,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,2,2026-07-02,1,1143.3,1143.3,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,2,2026-08-20,1,133.8,133.8,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,3,2026-07-03,1,995.6,995.6,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,3,2026-08-21,1,86.7,86.7,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,4,2026-07-06,1,1039.9,1039.9,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,4,2026-08-24,1,103.6,103.6,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,5,2026-07-07,1,825.0,825.0,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,5,2026-08-25,1,92.2,92.2,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,6,2026-07-08,1,817.4,817.4,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,6,2026-08-26,1,116.5,116.5,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,7,2026-07-09,1,932.7,932.7,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,7,2026-08-27,1,127.2,127.2,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,8,2026-07-10,1,901.9,901.9,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,8,2026-08-28,1,132.9,132.9,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,9,2026-07-13,1,934.7,934.7,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,9,2026-08-31,1,97.7,97.7,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,10,2026-07-14,1,884.7,884.7,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,10,2026-09-01,1,101.9,101.9,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,11,2026-07-15,1,914.1,914.1,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,11,2026-09-02,1,128.1,128.1,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,12,2026-07-16,1,1160.5,1160.5,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,12,2026-09-03,1,80.3,80.3,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,13,2026-07-17,1,1001.9,1001.9,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,13,2026-09-04,1,94.9,94.9,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,14,2026-07-20,1,1069.3,1069.3,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,14,2026-09-07,1,97.7,97.7,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,15,2026-07-21,1,938.1,938.1,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,15,2026-09-08,1,117.2,117.2,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,16,2026-07-22,1,921.5,921.5,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,16,2026-09-09,1,74.5,74.5,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,17,2026-07-24,1,724.8,724.8,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,17,2026-09-10,1,107.2,107.2,s,SIMULATED_SOURCE_AGGREGATE
TPGR,PRETEST,18,2026-07-30,1,922.1,922.1,s,USER_DECLARED_REAL_AGGREGATE
TPGR,POSTTEST,18,2026-09-11,1,89.3,89.3,s,SIMULATED_SOURCE_AGGREGATE
PACI,PRETEST,1,2026-07-01,57,40,70.17543859649122,%,USER_DECLARED_REAL_AGGREGATE
